"name","town_id","type","fips_stco","district","mora_start","mora_end","ohs","mapctype","mapcsub","mora_c","mora_nf","mora_np","HNS"
"BROCKTON","44","C",25023,"metrosouth",,,"false","Regional Urban Centers","Major Regional Urban Centers","false","false","false","true"
"WINDSOR","345","T",25003,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"CHESTER","59","T",25013,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"ASHFIELD","13","T",25011,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"BOSTON","35","C",25025,"eastern","2021/08/31","2022/03/31","true","Inner Core","Metro Core","false","true","true","true"
"ABINGTON","1","T",25023,"metrosouth",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"WHITMAN","338","T",25023,"metrosouth",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"WALES","306","T",25013,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"BRAINTREE","40","TC",25021,"metrosouth",,,"false","Maturing Suburbs","Mature Suburban Towns","false","false","false","false"
"EVERETT","93","C",25017,"northeast",,,"false","Inner Core","Metro Core","false","false","false","true"
"FRAMINGHAM","100","C",25017,"central","2021/02/09","2021/06/15","false","Regional Urban Centers","Sub-Regional Urban Center","false","true","true","false"
"CHESTERFIELD","60","T",25015,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"MIDDLEBOROUGH","182","T",25023,"southeast",,,"false","Developing Suburbs","Country Suburbs","false","false","false","false"
"SHERBORN","269","T",25017,"central",,,"false","Developing Suburbs","Country Suburbs","false","false","false","false"
"DUXBURY","82","T",25023,"southeast",,,"false","Maturing Suburbs","Established Suburbs and Cape Cod Towns","false","false","false","false"
"WENHAM","320","T",25009,"northeast",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"SPRINGFIELD","281","C",25013,"western",,,"false","Regional Urban Centers","Major Regional Urban Centers","false","false","false","false"
"WILBRAHAM","339","T",25013,"western",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"LAWRENCE","149","C",25009,"northeast","2020/03/18","2020/05/18","false","Regional Urban Centers","Major Regional Urban Centers","false","false","false","false"
"RANDOLPH","244","TC",25021,"metrosouth",,,"false","Maturing Suburbs","Mature Suburban Towns","false","false","false","false"
"WESTBOROUGH","328","T",25027,"central",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"OAKHAM","222","T",25027,"central",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"WEST BROOKFIELD","323","T",25027,"central",,,"false","Developing Suburbs","Country Suburbs","false","false","false","false"
"QUINCY","243","C",25021,"metrosouth",,,"false","Regional Urban Centers","Sub-Regional Urban Center","false","false","false","false"
"COHASSET","65","T",25021,"metrosouth",,,"false","Developing Suburbs","Country Suburbs","false","false","false","false"
"BELLINGHAM","25","T",25021,"metrosouth",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"HAWLEY","129","T",25011,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"GRANVILLE","112","T",25013,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"PEPPERELL","232","T",25017,"northeast",,,"false","Developing Suburbs","Country Suburbs","false","false","false","false"
"CAMBRIDGE","49","C",25017,"eastern","2020/04/03","2021/06/15","false","Inner Core","Metro Core","true","true","true","false"
"MOUNT WASHINGTON","195","T",25003,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"HULL","142","T",25023,"southeast",,,"false","Maturing Suburbs","Mature Suburban Towns","false","false","false","false"
"HARDWICK","124","T",25027,"central",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"ASHBY","12","T",25017,"central",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"EGREMONT","90","T",25003,"western",,,"false","Rural Towns","Rural Towns","false","false","false","false"
"MARION","169","T",25023,"southeast",,,"false","Developing Suburbs","Maturing New England Town","false","false","false","false"
"MEDFORD","176","C",25017,"eastern",,,"false","Inner Core","Streetcar Suburbs","false","false","false","false"
